Statement of Funds,Data,Base Currency Summary,2018-11-19,2018-11-19,Sell -246 MAGENTA THERAPEUTICS INC , ,1881.5262613,12024.586921732
Statement of Funds,Data,Base Currency Summary,2018-11-19,2018-11-19,Sell -90 TRANSLATE BIO INC , ,592.981568,12617.568489732
Statement of Funds,Data,Base Currency Summary,2018-11-20,2018-11-20,Order Cancellation Fee for Nov 2018,-0.01, ,12617.558489732
Statement of Funds,Data,Base Currency Summary,2018-11-20,2018-11-20,Buy 180 FTE NETWORKS INC ,-1000, ,11617.558489732
Statement of Funds,Data,Base Currency Summary,2018-11-20,2018-11-20,Buy 100 MOTUS GI HOLDINGS INC ,-316, ,11301.558489732
Statement of Funds,Data,Base Currency Summary,2018-11-20,2018-11-20,Buy 79 FIRSTHAND TECHNOLOGY VALUE ,-996.4, ,10305.158489732
Statement of Funds,Data,Base Currency Summary,2018-11-21,2018-11-21,Sell -110 KINIKSA PHARMACEUTICALS-A , ,2006.4608125,12311.619302232
Statement of Funds,Data,Base Currency Summary,2018-11-23,2018-11-23,Order Cancellation Fee for Nov 2018,-0.01, ,12311.609302232
Statement of Funds,Data,Base Currency Summary,2018-11-23,2018-11-23,Buy 176 AUDIOEYE INC ,-995.4, ,11316.209302232
Statement of Funds,Data,Base Currency Summary,2018-11-23,2018-11-23,Buy 100 BIOXCEL THERAPEUTICS INC ,-514.5, ,10801.709302232
Statement of Funds,Data,Base Currency Summary,2018-11-23,2018-11-23,Buy 94 BIOXCEL THERAPEUTICS INC ,-484.1, ,10317.609302232
Statement of Funds,Data,Base Currency Summary,2018-11-23,2018-11-23,Sell -85 BLUEGREEN VACATIONS CORP , ,1001.976846,11319.586148232
Statement of Funds,Data,Base Currency Summary,2018-11-23,2018-11-23,Buy 100 CERECOR INC ,-361, ,10958.586148232
Statement of Funds,Data,Base Currency Summary,2018-11-23,2018-11-23,Buy 100 CERECOR INC ,-360, ,10598.586148232
Statement of Funds,Data,Base Currency Summary,2018-11-23,2018-11-23,Buy 77 CERECOR INC ,-277.585, ,10321.001148232
Statement of Funds,Data,Base Currency Summary,2018-11-23,2018-11-23,Buy 100 INDEPENDENCE CONTRACT DRILLI ,-321, ,10000.001148232
Statement of Funds,Data,Base Currency Summary,2018-11-23,2018-11-23,Buy 37 INDEPENDENCE CONTRACT DRILLI ,-118.4, ,9881.601148232
Statement of Funds,Data,Base Currency Summary,2018-11-23,2018-11-23,Buy 88 INDEPENDENCE CONTRACT DRILLI ,-281.725, ,9599.876148232
Statement of Funds,Data,Base Currency Summary,2018-11-23,2018-11-23,Buy 87 INDEPENDENCE CONTRACT DRILLI ,-278.835, ,9321.041148232
Statement of Funds,Data,Base Currency Summary,2018-11-23,2018-11-23,Sell -79 LEVEL BRANDS INC , ,303.13664505,9624.177793282
Statement of Funds,Data,Base Currency Summary,2018-11-23,2018-11-23,Sell -184 LEVEL BRANDS INC , ,708.0538948,10332.231688082
Statement of Funds,Data,Base Currency Summary,2018-11-23,2018-11-23,Sell -100 MOTUS GI HOLDINGS INC , ,318.98394,10651.215628082
Statement of Funds,Data,Base Currency Summary,2018-11-23,2018-11-23,Buy 46 ARCADIA BIOSCIENCES INC ,-194.2, ,10457.015628082
Statement of Funds,Data,Base Currency Summary,2018-11-23,2018-11-23,Buy 246 ROSEHILL RESOURCES INC ,-997.53, ,9459.485628082
Statement of Funds,Data,Base Currency Summary,2018-11-23,2018-11-23,Sell -98 SELECT INTERIOR CONCEPTS-A , ,851.5772542,10311.062882282
Statement of Funds,Data,Base Currency Summary,2018-11-23,2018-11-23,Sell -79 FIRSTHAND TECHNOLOGY VALUE , ,1014.91739178,11325.980274062
Statement of Funds,Data,Base Currency Summary,2018-11-26,2018-11-26,Buy 30 ASPEN AEROGELS INC ,-100, ,11225.980274062
Statement of Funds,Data,Base Currency Summary,2018-11-26,2018-11-26,Buy 7 ATOMERA INC ,-27.25, ,11198.730274062
Statement of Funds,Data,Base Currency Summary,2018-11-26,2018-11-26,Buy 253 BIOSIG TECHNOLOGIES INC ,-1000.615, ,10198.115274062
Statement of Funds,Data,Base Currency Summary,2018-11-26,2018-11-26,Buy 1 CORVUS PHARMACEUTICALS INC ,-7.3, ,10190.815274062
Statement of Funds,Data,Base Currency Summary,2018-11-26,2018-11-26,Buy 157 CORVUS PHARMACEUTICALS INC ,-989.1, ,9201.715274062
Statement of Funds,Data,Base Currency Summary,2018-11-26,2018-11-26,Buy 130 CUE BIOPHARMA INC ,-709.5, ,8492.215274062
Statement of Funds,Data,Base Currency Summary,2018-11-26,2018-11-26,Buy 37 CUE BIOPHARMA INC ,-201.65, ,8290.565274062
Statement of Funds,Data,Base Currency Summary,2018-11-26,2018-11-26,Buy 152 ENTASIS THERAPEUTICS HOLDING ,-996.6, ,7293.965274062
Statement of Funds,Data,Base Currency Summary,2018-11-26,2018-11-26,Buy 171 IMPAC MORTGAGE HOLDINGS INC. ,-727.75, ,6566.215274062
Statement of Funds,Data,Base Currency Summary,2018-11-26,2018-11-26,Buy 64 IMPAC MORTGAGE HOLDINGS INC. ,-272.175, ,6294.040274062
Statement of Funds,Data,Base Currency Summary,2018-11-26,2018-11-26,Buy 10 KEY ENERGY SERVICES INC ,-69, ,6225.040274062
Statement of Funds,Data,Base Currency Summary,2018-11-26,2018-11-26,Buy 3 KEY ENERGY SERVICES INC ,-20.4, ,6204.640274062
Statement of Funds,Data,Base Currency Summary,2018-11-26,2018-11-26,Buy 2 KEY ENERGY SERVICES INC ,-13.6, ,6191.040274062
Statement of Funds,Data,Base Currency Summary,2018-11-26,2018-11-26,Buy 10 KEY ENERGY SERVICES INC ,-68, ,6123.040274062
Statement of Funds,Data,Base Currency Summary,2018-11-26,2018-11-26,Buy 7 KEY ENERGY SERVICES INC ,-47.6, ,6075.440274062
Statement of Funds,Data,Base Currency Summary,2018-11-26,2018-11-26,Buy 5 KEY ENERGY SERVICES INC ,-34, ,6041.440274062
Statement of Funds,Data,Base Currency Summary,2018-11-26,2018-11-26,Buy 15 KEY ENERGY SERVICES INC ,-102, ,5939.440274062
Statement of Funds,Data,Base Currency Summary,2018-11-26,2018-11-26,Buy 5 KEY ENERGY SERVICES INC ,-34, ,5905.440274062
Statement of Funds,Data,Base Currency Summary,2018-11-26,2018-11-26,Sell -200 LAZYDAYS HOLDINGS INC , ,976.963486,6882.403760062
Statement of Funds,Data,Base Currency Summary,2018-11-26,2018-11-26,Buy 259 MUSTANG BIO INC ,-998.445, ,5883.958760062
Statement of Funds,Data,Base Currency Summary,2018-11-26,2018-11-26,Buy 100 MIRAGEN THERAPEUTICS INC ,-341, ,5542.958760062
Statement of Funds,Data,Base Currency Summary,2018-11-26,2018-11-26,Buy 22 MIRAGEN THERAPEUTICS INC ,-74.8, ,5468.158760062
Statement of Funds,Data,Base Currency Summary,2018-11-26,2018-11-26,Buy 70 MIRAGEN THERAPEUTICS INC ,-238, ,5230.158760062
Statement of Funds,Data,Base Currency Summary,2018-11-26,2018-11-26,Buy 102 MIRAGEN THERAPEUTICS INC ,-347.27, ,4882.888760062
Statement of Funds,Data,Base Currency Summary,2018-11-26,2018-11-26,Buy 115 MAGENTA THERAPEUTICS INC ,-995.75, ,3887.138760062
Statement of Funds,Data,Base Currency Summary,2018-11-26,2018-11-26,Buy 124 RA MEDICAL SYSTEMS INC ,-999.2, ,2887.938760062
Statement of Funds,Data,Base Currency Summary,2018-11-26,2018-11-26,Buy 47 STERLING BANCORP INC/MI ,-419.3, ,2468.638760062
Statement of Funds,Data,Base Currency Summary,2018-11-26,2018-11-26,Buy 2 SUTRO BIOPHARMA INC ,-22.4, ,2446.238760062
Statement of Funds,Data,Base Currency Summary,2018-11-26,2018-11-26,Buy 91 SUTRO BIOPHARMA INC ,-973.7, ,1472.538760062
Statement of Funds,Data,Base Currency Summary,2018-11-26,2018-11-26,Buy 71 UROVANT SCIENCES LTD ,-586.75, ,885.788760062
Statement of Funds,Data,Base Currency Summary,2018-11-26,2018-11-26,Buy 50 UROVANT SCIENCES LTD ,-412.5, ,473.288760062
Statement of Funds,Data,Base Currency Summary,2018-11-26,,FX Translation P&L, ,152.41039587,625.699155932
Statement of Funds,Data,Base Currency Summary,2018-11-26,,Closing Balance,-105383.78474474,105973.565499323,625.699155416
Statement of Funds,Data,SGD,2018-01-01,,Opening Balance, , ,48.04109
Statement of Funds,Data,SGD,2018-01-03,2018-01-03,Balance of Monthly Minimum Fee for Dec 2017,-10.69, ,37.35109
Statement of Funds,Data,SGD,2018-02-05,2018-02-05,Balance of Monthly Minimum Fee for Jan 2018,-26.24, ,11.11109
Statement of Funds,Data,SGD,2018-03-06,2018-03-06,Balance of Monthly Minimum Fee for Feb 2018,-11.11, ,0.00109
Statement of Funds,Data,SGD,2018-05-02,2018-05-02,Electronic Fund Transfer, ,50000,50000.00109
Statement of Funds,Data,SGD,2018-05-03,2018-05-03,Electronic Fund Transfer, ,35732.07,85732.07109
Statement of Funds,Data,SGD,2018-05-03,2018-05-03,"Trading Currency Leg from Forex Trade: 64,314 USD.SGD",-85727.3463, ,4.72479
Statement of Funds,Data,SGD,2018-05-03,2018-05-03,Commission from Forex Trade,-2.00817144, ,2.71661856
Statement of Funds,Data,SGD,2018-06-05,2018-06-05,Balance of Monthly Minimum Fee for May 2018,-2.05, ,0.66661856
Statement of Funds,Data,SGD,2018-11-26,,Closing Balance,-85777.4363,85732.07,0.00179
Statement of Funds,Data,USD,2018-01-01,,Opening Balance, , ,0
Statement of Funds,Data,USD,2018-05-03,2018-05-03,Traded Currency Leg from Forex Trade, ,64314,64314
Statement of Funds,Data,USD,2018-05-08,2018-05-08,Disbursement Initiated by Ching Jui Young,-64314, ,0
Statement of Funds,Data,USD,2018-10-30,2018-10-30,Electronic Fund Transfer, ,10000,10000
Statement of Funds,Data,USD,2018-11-01,2018-11-01,Electronic Fund Transfer, ,10000,20000
Statement of Funds,Data,USD,2018-11-02,2018-11-02,Balance of Monthly Minimum Fee for Oct 2018,-20, ,19980
Statement of Funds,Data,USD,2018-11-02,2018-11-02,Buy 37 ACME UNITED CORP ,-656.64, ,19323.36
Statement of Funds,Data,USD,2018-11-02,2018-11-02,Buy 80 ALLENA PHARMACEUTICALS INC ,-665, ,18658.36
Statement of Funds,Data,USD,2018-11-02,2018-11-02,Buy 50 ALPINE IMMUNE SCIENCES INC ,-244.5, ,18413.86
Statement of Funds,Data,USD,2018-11-02,2018-11-02,Buy 83 ALPINE IMMUNE SCIENCES INC ,-415, ,17998.86
Statement of Funds,Data,USD,2018-11-05,2018-11-05,Order Cancellation Fee for Nov 2018,-0.02, ,17998.84
Statement of Funds,Data,USD,2018-11-05,2018-11-05,y******41:US Equity and Options Add-On Streaming Bundle Non-Professional for Nov 2018,-4.5, ,17994.34
Statement of Funds,Data,USD,2018-11-05,2018-11-05,y******41:US Securities Snapshot and Futures Value Bundle Non-Professional for Nov 2018,-10, ,17984.34
Statement of Funds,Data,USD,2018-11-05,2018-11-05,Buy 10 CUE BIOPHARMA INC ,-74, ,17910.34
Statement of Funds,Data,USD,2018-11-05,2018-11-05,Buy 210 CUE BIOPHARMA INC ,-1533.65, ,16376.69
Statement of Funds,Data,USD,2018-11-05,2018-11-05,Buy 53 CUE BIOPHARMA INC ,-387.2975, ,15989.3925
Statement of Funds,Data,USD,2018-11-05,2018-11-05,Buy 216 FTE NETWORKS INC ,-1999.62, ,13989.7725
Statement of Funds,Data,USD,2018-11-06,2018-11-06,Sell -1 ACME UNITED CORP , ,16.94964765,14006.72214765
Statement of Funds,Data,USD,2018-11-06,2018-11-06,Sell -36 ACME UNITED CORP , ,646.1873154,14652.90946305
Statement of Funds,Data,USD,2018-11-06,2018-11-06,Buy 55 BLUEGREEN VACATIONS CORP ,-707.75, ,13945.15946305
Statement of Funds,Data,USD,2018-11-06,2018-11-06,Buy 100 BLUEGREEN VACATIONS CORP ,-1285, ,12660.15946305
Statement of Funds,Data,USD,2018-11-08,2018-11-08,Sell -80 ALLENA PHARMACEUTICALS INC , ,670.981744,13331.14120705
Statement of Funds,Data,USD,2018-11-08,2018-11-08,Sell -273 CUE BIOPHARMA INC , ,2117.05497276,15448.19617981
Statement of Funds,Data,USD,2018-11-12,2018-11-12,Sell -100 ALPINE IMMUNE SCIENCES INC , ,498.9816,15947.17777981
Statement of Funds,Data,USD,2018-11-13,2018-11-13,Buy 243 ALLENA PHARMACEUTICALS INC ,-1993.815, ,13953.36277981
Statement of Funds,Data,USD,2018-11-13,2018-11-13,Sell -10 ALPINE IMMUNE SCIENCES INC , ,50.4981405,14003.86092031
Statement of Funds,Data,USD,2018-11-13,2018-11-13,Sell -23 ALPINE IMMUNE SCIENCES INC , ,114.995768,14118.85668831
Statement of Funds,Data,USD,2018-11-13,2018-11-13,Sell -216 FTE NETWORKS INC , ,1471.99514544,15590.85183375
Statement of Funds,Data,USD,2018-11-13,2018-11-13,Buy 100 KINIKSA PHARMACEUTICALS-A ,-1806, ,13784.85183375
Statement of Funds,Data,USD,2018-11-13,2018-11-13,Buy 10 KINIKSA PHARMACEUTICALS-A ,-180.5, ,13604.35183375
Statement of Funds,Data,USD,2018-11-13,2018-11-13,Buy 200 LAZYDAYS HOLDINGS INC ,-1091, ,12513.35183375
Statement of Funds,Data,USD,2018-11-13,2018-11-13,Buy 10 LIQUIDIA TECHNOLOGIES INC ,-194.5, ,12318.85183375
Statement of Funds,Data,USD,2018-11-13,2018-11-13,Buy 93 LIQUIDIA TECHNOLOGIES INC ,-1799.55, ,10519.30183375
Statement of Funds,Data,USD,2018-11-13,2018-11-13,Buy 264 MAGENTA THERAPEUTICS INC ,-1994.52, ,8524.78183375
Statement of Funds,Data,USD,2018-11-13,2018-11-13,Buy 232 SELECT INTERIOR CONCEPTS-A ,-1995.2, ,6529.58183375
Statement of Funds,Data,USD,2018-11-13,2018-11-13,Buy 90 TRANSLATE BIO INC ,-563.5, ,5966.08183375
Statement of Funds,Data,USD,2018-11-14,2018-11-14,Sell -155 BLUEGREEN VACATIONS CORP , ,1871.620710375,7837.702544125
Statement of Funds,Data,USD,2018-11-19,2018-11-19,Sell -100 ALLENA PHARMACEUTICALS INC , ,851.977011,8689.679555125
Statement of Funds,Data,USD,2018-11-19,2018-11-19,Sell -143 ALLENA PHARMACEUTICALS INC , ,1219.54212573,9909.221680855
Statement of Funds,Data,USD,2018-11-19,2018-11-19,Buy 85 BLUEGREEN VACATIONS CORP ,-991.25, ,8917.971680855
Statement of Funds,Data,USD,2018-11-19,2018-11-19,Buy 263 LEVEL BRANDS INC ,-999.5052, ,7918.466480855
Statement of Funds,Data,USD,2018-11-19,2018-11-19,Sell -100 LIQUIDIA TECHNOLOGIES INC , ,2176.959786,10095.426266855
Statement of Funds,Data,USD,2018-11-19,2018-11-19,Sell -3 LIQUIDIA TECHNOLOGIES INC , ,63.347419468,10158.773686323
Statement of Funds,Data,USD,2018-11-19,2018-11-19,Sell -18 MAGENTA THERAPEUTICS INC , ,136.6960679,10295.469754223
Statement of Funds,Data,USD,2018-11-19,2018-11-19,Sell -246 MAGENTA THERAPEUTICS INC , ,1881.5262613,12176.996015523
Statement of Funds,Data,USD,2018-11-19,2018-11-19,Sell -90 TRANSLATE BIO INC , ,592.981568,12769.977583523
Statement of Funds,Data,USD,2018-11-20,2018-11-20,Order Cancellation Fee for Nov 2018,-0.01, ,12769.967583523
Statement of Funds,Data,USD,2018-11-20,2018-11-20,Buy 180 FTE NETWORKS INC ,-1000, ,11769.967583523
Statement of Funds,Data,USD,2018-11-20,2018-11-20,Buy 100 MOTUS GI HOLDINGS INC ,-316, ,11453.967583523
Statement of Funds,Data,USD,2018-11-20,2018-11-20,Buy 79 FIRSTHAND TECHNOLOGY VALUE ,-996.4, ,10457.567583523
Statement of Funds,Data,USD,2018-11-21,2018-11-21,Sell -110 KINIKSA PHARMACEUTICALS-A , ,2006.4608125,12464.028396023
Statement of Funds,Data,USD,2018-11-23,2018-11-23,Order Cancellation Fee for Nov 2018,-0.01, ,12464.018396023
Statement of Funds,Data,USD,2018-11-23,2018-11-23,Buy 176 AUDIOEYE INC ,-995.4, ,11468.618396023
Statement of Funds,Data,USD,2018-11-23,2018-11-23,Buy 100 BIOXCEL THERAPEUTICS INC ,-514.5, ,10954.118396023
Statement of Funds,Data,USD,2018-11-23,2018-11-23,Buy 94 BIOXCEL THERAPEUTICS INC ,-484.1, ,10470.018396023
Statement of Funds,Data,USD,2018-11-23,2018-11-23,Sell -85 BLUEGREEN VACATIONS CORP , ,1001.976846,11471.995242023
Statement of Funds,Data,USD,2018-11-23,2018-11-23,Buy 100 CERECOR INC ,-361, ,11110.995242023
Statement of Funds,Data,USD,2018-11-23,2018-11-23,Buy 100 CERECOR INC ,-360, ,10750.995242023
Statement of Funds,Data,USD,2018-11-23,2018-11-23,Buy 77 CERECOR INC ,-277.585, ,10473.410242023
Statement of Funds,Data,USD,2018-11-23,2018-11-23,Buy 100 INDEPENDENCE CONTRACT DRILLI ,-321, ,10152.410242023
Statement of Funds,Data,USD,2018-11-23,2018-11-23,Buy 37 INDEPENDENCE CONTRACT DRILLI ,-118.4, ,10034.010242023
Statement of Funds,Data,USD,2018-11-23,2018-11-23,Buy 88 INDEPENDENCE CONTRACT DRILLI ,-281.725, ,9752.285242023
Statement of Funds,Data,USD,2018-11-23,2018-11-23,Buy 87 INDEPENDENCE CONTRACT DRILLI ,-278.835, ,9473.450242023
Statement of Funds,Data,USD,2018-11-23,2018-11-23,Sell -79 LEVEL BRANDS INC , ,303.13664505,9776.586887073
Statement of Funds,Data,USD,2018-11-23,2018-11-23,Sell -184 LEVEL BRANDS INC , ,708.0538948,10484.640781873
Statement of Funds,Data,USD,2018-11-23,2018-11-23,Sell -100 MOTUS GI HOLDINGS INC , ,318.98394,10803.624721873
Statement of Funds,Data,USD,2018-11-23,2018-11-23,Buy 46 ARCADIA BIOSCIENCES INC ,-194.2, ,10609.424721873
Statement of Funds,Data,USD,2018-11-23,2018-11-23,Buy 246 ROSEHILL RESOURCES INC ,-997.53, ,9611.894721873
Statement of Funds,Data,USD,2018-11-23,2018-11-23,Sell -98 SELECT INTERIOR CONCEPTS-A , ,851.5772542,10463.471976073
Statement of Funds,Data,USD,2018-11-23,2018-11-23,Sell -79 FIRSTHAND TECHNOLOGY VALUE , ,1014.91739178,11478.389367853
Statement of Funds,Data,USD,2018-11-26,2018-11-26,Buy 30 ASPEN AEROGELS INC ,-100, ,11378.389367853
Statement of Funds,Data,USD,2018-11-26,2018-11-26,Buy 7 ATOMERA INC ,-27.25, ,11351.139367853
Statement of Funds,Data,USD,2018-11-26,2018-11-26,Buy 253 BIOSIG TECHNOLOGIES INC ,-1000.615, ,10350.524367853
Statement of Funds,Data,USD,2018-11-26,2018-11-26,Buy 1 CORVUS PHARMACEUTICALS INC ,-7.3, ,10343.224367853
Statement of Funds,Data,USD,2018-11-26,2018-11-26,Buy 157 CORVUS PHARMACEUTICALS INC ,-989.1, ,9354.124367853
Statement of Funds,Data,USD,2018-11-26,2018-11-26,Buy 130 CUE BIOPHARMA INC ,-709.5, ,8644.624367853
Statement of Funds,Data,USD,2018-11-26,2018-11-26,Buy 37 CUE BIOPHARMA INC ,-201.65, ,8442.974367853
Statement of Funds,Data,USD,2018-11-26,2018-11-26,Buy 152 ENTASIS THERAPEUTICS HOLDING ,-996.6, ,7446.374367853
Statement of Funds,Data,USD,2018-11-26,2018-11-26,Buy 171 IMPAC MORTGAGE HOLDINGS INC. ,-727.75, ,6718.624367853
Statement of Funds,Data,USD,2018-11-26,2018-11-26,Buy 64 IMPAC MORTGAGE HOLDINGS INC. ,-272.175, ,6446.449367853
Statement of Funds,Data,USD,2018-11-26,2018-11-26,Buy 10 KEY ENERGY SERVICES INC ,-69, ,6377.449367853
Statement of Funds,Data,USD,2018-11-26,2018-11-26,Buy 3 KEY ENERGY SERVICES INC ,-20.4, ,6357.049367853
Statement of Funds,Data,USD,2018-11-26,2018-11-26,Buy 2 KEY ENERGY SERVICES INC ,-13.6, ,6343.449367853
Statement of Funds,Data,USD,2018-11-26,2018-11-26,Buy 10 KEY ENERGY SERVICES INC ,-68, ,6275.449367853
Statement of Funds,Data,USD,2018-11-26,2018-11-26,Buy 7 KEY ENERGY SERVICES INC ,-47.6, ,6227.849367853
Statement of Funds,Data,USD,2018-11-26,2018-11-26,Buy 5 KEY ENERGY SERVICES INC ,-34, ,6193.849367853
Statement of Funds,Data,USD,2018-11-26,2018-11-26,Buy 15 KEY ENERGY SERVICES INC ,-102, ,6091.849367853
Statement of Funds,Data,USD,2018-11-26,2018-11-26,Buy 5 KEY ENERGY SERVICES INC ,-34, ,6057.849367853
Statement of Funds,Data,USD,2018-11-26,2018-11-26,Sell -200 LAZYDAYS HOLDINGS INC , ,976.963486,7034.812853853
Statement of Funds,Data,USD,2018-11-26,2018-11-26,Buy 259 MUSTANG BIO INC ,-998.445, ,6036.367853853
Statement of Funds,Data,USD,2018-11-26,2018-11-26,Buy 100 MIRAGEN THERAPEUTICS INC ,-341, ,5695.367853853
Statement of Funds,Data,USD,2018-11-26,2018-11-26,Buy 22 MIRAGEN THERAPEUTICS INC ,-74.8, ,5620.567853853
Statement of Funds,Data,USD,2018-11-26,2018-11-26,Buy 70 MIRAGEN THERAPEUTICS INC ,-238, ,5382.567853853
Statement of Funds,Data,USD,2018-11-26,2018-11-26,Buy 102 MIRAGEN THERAPEUTICS INC ,-347.27, ,5035.297853853
Statement of Funds,Data,USD,2018-11-26,2018-11-26,Buy 115 MAGENTA THERAPEUTICS INC ,-995.75, ,4039.547853853
Statement of Funds,Data,USD,2018-11-26,2018-11-26,Buy 124 RA MEDICAL SYSTEMS INC ,-999.2, ,3040.347853853
Statement of Funds,Data,USD,2018-11-26,2018-11-26,Buy 47 STERLING BANCORP INC/MI ,-419.3, ,2621.047853853
Statement of Funds,Data,USD,2018-11-26,2018-11-26,Buy 2 SUTRO BIOPHARMA INC ,-22.4, ,2598.647853853
Statement of Funds,Data,USD,2018-11-26,2018-11-26,Buy 91 SUTRO BIOPHARMA INC ,-973.7, ,1624.947853853
Statement of Funds,Data,USD,2018-11-26,2018-11-26,Buy 71 UROVANT SCIENCES LTD ,-586.75, ,1038.197853853
Statement of Funds,Data,USD,2018-11-26,2018-11-26,Buy 50 UROVANT SCIENCES LTD ,-412.5, ,625.697853853
Statement of Funds,Data,USD,2018-11-26,,Closing Balance,-105254.67587144,105878.365553853,625.697853853
Change in Position Value,Header,Asset Class,Currency,Field Name,Field Value
Change in Position Value,Data,STK,USD,Prior Period Value,0
Change in Position Value,Data,STK,USD,Transactions,19275.8281
Change in Position Value,Data,STK,USD,MTM P/L On Prior Period,549.323
Change in Position Value,Data,STK,USD,MTM P/L On Transactions,-1000.3011
Change in Position Value,Data,STK,USD,End Of Period Value,18824.85
Open Positions,Header,DataDiscriminator,Asset Category,Currency,Symbol,Open,Quantity,Mult,Cost Price,Cost Basis,Close Price,Value,Unrealized P/L,Code
Open Positions,Data,Summary,Stocks,USD,AEYE,-,176,1,5.655681818,995.4,6,1056,60.6,
Open Positions,Data,Lot,Stocks,USD,AEYE,"2018-11-23, 12:36:43",176,,5.655681818,995.4,6,1056,60.6,
Open Positions,Data,Summary,Stocks,USD,ASPN,-,30,1,3.333333333,100,3.2,96,-4,
Open Positions,Data,Lot,Stocks,USD,ASPN,"2018-11-26, 10:46:39",30,,3.333333333,100,3.2,96,-4,
Open Positions,Data,Summary,Stocks,USD,ATOM,-,7,1,3.892857143,27.25,3.71,25.97,-1.28,
Open Positions,Data,Lot,Stocks,USD,ATOM,"2018-11-26, 12:10:04",7,,3.892857143,27.25,3.71,25.97,-1.28,
Open Positions,Data,Summary,Stocks,USD,BSGM,-,253,1,3.955,1000.615,3.83,968.99,-31.625,
Open Positions,Data,Lot,Stocks,USD,BSGM,"2018-11-26, 11:44:30",253,,3.955,1000.615,3.83,968.99,-31.625,
Open Positions,Data,Summary,Stocks,USD,BTAI,-,194,1,5.14742268,998.6,5.09,987.46,-11.14,
Open Positions,Data,Lot,Stocks,USD,BTAI,"2018-11-23, 11:53:57",94,,5.15,484.1,5.09,478.46,-5.64,
Open Positions,Data,Lot,Stocks,USD,BTAI,"2018-11-23, 11:53:21",100,,5.145,514.5,5.09,509,-5.5,
Open Positions,Data,Summary,Stocks,USD,CERC,-,277,1,3.605,998.585,3.56,986.12,-12.465,
Open Positions,Data,Lot,Stocks,USD,CERC,"2018-11-23, 12:52:19",77,,3.605,277.585,3.56,274.12,-3.465,
Open Positions,Data,Lot,Stocks,USD,CERC,"2018-11-23, 12:52:14",100,,3.6,360,3.56,356,-4,
Open Positions,Data,Lot,Stocks,USD,CERC,"2018-11-23, 12:52:09",100,,3.61,361,3.56,356,-5,
Open Positions,Data,Summary,Stocks,USD,CRVS,-,158,1,6.306329114,996.4,6.24,985.92,-10.48,
Open Positions,Data,Lot,Stocks,USD,CRVS,"2018-11-26, 11:51:19",1,,7.3,7.3,6.24,6.24,-1.06,
Open Positions,Data,Lot,Stocks,USD,CRVS,"2018-11-26, 11:51:19",157,,6.3,989.1,6.24,979.68,-9.42,
Open Positions,Data,Summary,Stocks,USD,CUE,-,167,1,5.455988024,911.15,5.14,858.38,-52.77,
Open Positions,Data,Lot,Stocks,USD,CUE,"2018-11-26, 11:30:25",130,,5.457692308,709.5,5.14,668.2,-41.3,
Open Positions,Data,Lot,Stocks,USD,CUE,"2018-11-26, 11:30:25",37,,5.45,201.65,5.14,190.18,-11.47,
Open Positions,Data,Summary,Stocks,USD,ETTX,-,152,1,6.556578947,996.6,6.4,972.8,-23.8,
Open Positions,Data,Lot,Stocks,USD,ETTX,"2018-11-26, 10:28:14",152,,6.556578947,996.6,6.4,972.8,-23.8,
Open Positions,Data,Summary,Stocks,USD,FTNW,-,180,1,7.998263217,1439.687379,4.03,725.4,-714.287379,SY
Open Positions,Data,Lot,Stocks,USD,FTNW,"2018-11-20, 13:24:18",180,,7.998263217,1439.687379,4.03,725.4,-714.287379,LD
Open Positions,Data,Summary,Stocks,USD,ICD,-,312,1,3.205,999.96,3.26,1017.12,17.16,
Open Positions,Data,Lot,Stocks,USD,ICD,"2018-11-23, 12:56:04",100,,3.21,321,3.26,326,5,
Open Positions,Data,Lot,Stocks,USD,ICD,"2018-11-23, 12:56:04",37,,3.2,118.4,3.26,120.62,2.22,
Open Positions,Data,Lot,Stocks,USD,ICD,"2018-11-23, 12:56:04",88,,3.201420455,281.725,3.26,286.88,5.155,
Open Positions,Data,Lot,Stocks,USD,ICD,"2018-11-23, 12:56:04",87,,3.205,278.835,3.26,283.62,4.785,
Open Positions,Data,Summary,Stocks,USD,IMH,-,235,1,4.255,999.925,4.2,987,-12.925,
Open Positions,Data,Lot,Stocks,USD,IMH,"2018-11-26, 12:13:22",171,,4.255847953,727.75,4.2,718.2,-9.55,
Open Positions,Data,Lot,Stocks,USD,IMH,"2018-11-26, 12:13:22",64,,4.252734375,272.175,4.2,268.8,-3.375,
Open Positions,Data,Summary,Stocks,USD,KEG,-,57,1,6.81754386,388.6,7.06,402.42,13.82,
Open Positions,Data,Lot,Stocks,USD,KEG,"2018-11-26, 12:04:48",5,,6.8,34,7.06,35.3,1.3,
Open Positions,Data,Lot,Stocks,USD,KEG,"2018-11-26, 12:03:11",15,,6.8,102,7.06,105.9,3.9,
Open Positions,Data,Lot,Stocks,USD,KEG,"2018-11-26, 12:02:56",5,,6.8,34,7.06,35.3,1.3,
Open Positions,Data,Lot,Stocks,USD,KEG,"2018-11-26, 12:01:53",7,,6.8,47.6,7.06,49.42,1.82,
Open Positions,Data,Lot,Stocks,USD,KEG,"2018-11-26, 12:00:59",10,,6.8,68,7.06,70.6,2.6,
